date,symbol,open,high,low,close,volume
2025-11-22,SPY,450.00,452.50,449.00,451.00,75000000
2025-11-22,XLK,185.00,187.00,184.50,186.50,12000000
2025-11-22,XLY,165.00,166.50,164.00,165.75,8000000
2025-11-22,XLC,72.00,73.00,71.50,72.50,5000000
2025-11-22,XLV,135.00,136.00,134.50,135.25,10000000
2025-11-22,XLF,38.50,39.00,38.25,38.75,15000000
2025-11-22,XLE,85.00,86.00,84.50,85.25,9000000
2025-11-22,XLI,115.00,116.00,114.50,115.50,7000000
2025-11-22,XLP,75.00,75.50,74.50,75.00,6000000
2025-11-22,XLU,67.00,67.50,66.50,67.00,5000000
2025-11-22,XLB,88.00,89.00,87.50,88.50,4000000
2025-11-22,XLRE,42.00,42.50,41.50,42.00,3000000
2025-11-29,SPY,451.00,454.00,450.50,453.25,78000000
2025-11-29,XLK,186.50,189.50,186.00,189.00,13000000
2025-11-29,XLY,165.75,167.00,165.00,166.00,8500000
2025-11-29,XLC,72.50,74.00,72.00,73.50,5500000
2025-11-29,XLV,135.25,136.50,134.75,135.50,10500000
2025-11-29,XLF,38.75,39.50,38.50,39.25,16000000
2025-11-29,XLE,85.25,86.50,84.75,85.00,9500000
2025-11-29,XLI,115.50,117.00,115.00,116.50,7500000
2025-11-29,XLP,75.00,75.75,74.50,75.25,6500000
2025-11-29,XLU,67.00,67.75,66.50,67.25,5500000
2025-11-29,XLB,88.50,90.00,88.00,89.50,4500000
2025-11-29,XLRE,42.00,42.75,41.50,42.25,3500000
2025-12-06,SPY,453.25,456.50,452.75,455.75,80000000
2025-12-06,XLK,189.00,192.50,188.50,192.00,14000000
2025-12-06,XLY,166.00,167.50,165.50,166.25,9000000
2025-12-06,XLC,73.50,75.00,73.00,74.75,6000000
2025-12-06,XLV,135.50,136.75,134.50,135.25,11000000
2025-12-06,XLF,39.25,40.00,39.00,39.75,17000000
2025-12-06,XLE,85.00,86.00,84.00,84.50,10000000
2025-12-06,XLI,116.50,118.00,116.00,117.25,8000000
2025-12-06,XLP,75.25,75.75,74.75,75.00,7000000
2025-12-06,XLU,67.25,67.75,66.50,67.00,6000000
2025-12-06,XLB,89.50,91.50,89.00,91.00,5000000
2025-12-06,XLRE,42.25,42.75,41.75,42.00,4000000
2025-12-13,SPY,455.75,459.00,455.00,458.50,82000000
2025-12-13,XLK,192.00,196.00,191.50,195.50,15000000
2025-12-13,XLY,166.25,167.75,165.75,166.50,9500000
2025-12-13,XLC,74.75,76.50,74.25,76.00,6500000
2025-12-13,XLV,135.25,136.50,134.25,135.00,11500000
2025-12-13,XLF,39.75,40.50,39.50,40.25,18000000
2025-12-13,XLE,84.50,85.50,83.50,84.00,10500000
2025-12-13,XLI,117.25,119.00,116.75,118.00,8500000
2025-12-13,XLP,75.00,75.50,74.25,74.75,7500000
2025-12-13,XLU,67.00,67.50,66.25,66.75,6500000
2025-12-13,XLB,91.00,93.00,90.50,92.50,5500000
2025-12-13,XLRE,42.00,42.50,41.25,41.75,4500000
2025-12-20,SPY,458.50,462.00,457.75,461.25,85000000
2025-12-20,XLK,195.50,200.00,195.00,199.50,16000000
2025-12-20,XLY,166.50,168.00,166.00,166.75,10000000
2025-12-20,XLC,76.00,77.75,75.50,77.25,7000000
2025-12-20,XLV,135.00,136.25,133.75,134.50,12000000
2025-12-20,XLF,40.25,41.00,40.00,40.75,19000000
2025-12-20,XLE,84.00,85.00,83.00,83.50,11000000
2025-12-20,XLI,118.00,120.00,117.50,119.00,9000000
2025-12-20,XLP,74.75,75.25,74.00,74.50,8000000
2025-12-20,XLU,66.75,67.25,66.00,66.50,7000000
2025-12-20,XLB,92.50,94.50,92.00,94.00,6000000
2025-12-20,XLRE,41.75,42.25,41.00,41.50,5000000
